"ID,State,Repair ,Reason,YEAR ,Make,Body Type"
"0000015241383936,AL,Battery replacmVehicleent,Dead battery,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0000015241383936,AL,Dent Repair  Left Fender,Collision,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0000060965535744,AL,Battery replacment,Dead battery,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0000060965535744,AL,Tire repair,Flat- reparable,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0000060965535744,AL,Tire replacement,Flat- hole not reparable,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0000137172455424,AL,Battery replacment,Dead battery,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0000137172455424,AL,Windshield replacement,Crack,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0000243862142976,AL,Dent Repair Rear,Collision,2019,RAM ,""1500 Classic SLT 4X2 Crew Cab 6'4"""" Box"""
"0000381034598400,AR,Windshield replacement,Crack,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0000548689821696,AR,Tire repair,Flat- reparable,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0000548689821696,AR,Windshield replacement,Crack,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0000746827812864,AR,Battery replacment,Dead battery,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0000746827812864,AR,Dent Repair  Left Fender,Collision,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0000746827812864,AR,Tire repair,Flat- reparable,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0000746827812864,AR,Tire replacement,Flat- hole not reparable,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0000975448571904,AR,Tire replacement,Flat- hole not reparable,2018,Chevrolet Silverado ,""1500 2WD Double Cab 143.5"""" LT w/1LT"""
"0001234552098816,AR,Tire replacement,Flat- hole not reparable,2018,RAM ,""1500 SLT 4X2 Quad Cab 6'4"""" Box"""
"0001524138393600,AR,Tire replacement,Flat- hole not reparable,2019,RAM ,""1500 Classic SLT 4X2 Crew Cab 6'4"""" Box"""
"0001844207456256,AZ,Battery replacment,Dead battery,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0001844207456256,AZ,Tire repair,Flat- reparable,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0001844207456256,AZ,Tire repair,Flat- reparable,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0001844207456256,AZ,Windshield replacement,Crack,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0002194759286784,AZ,Tire repair,Flat- reparable,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0002194759286784,AZ,Tire repair,Flat- reparable,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0002194759286784,AZ,Tire replacement,Flat- hole not reparable,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0002575793885184,AZ,Battery replacment,Dead battery,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0002575793885184,AZ,Tire repair,Flat- reparable,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0002575793885184,AZ,Tire repair,Flat- reparable,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0002575793885184,AZ,Tire replacement,Flat- hole not reparable,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0002987311251456,AZ,Tire repair,Flat- reparable,2018,Chevrolet Silverado ,""1500 2WD Double Cab 143.5"""" LT w/1LT"""
"0002987311251456,AZ,Tire replacement,Flat- hole not reparable,2018,Chevrolet Silverado ,""1500 2WD Double Cab 143.5"""" LT w/1LT"""
"0003429311385600,AZ,Dent Repair  Left Fender,Collision,2018,RAM ,""1500 SLT 4X2 Quad Cab 6'4"""" Box"""
"0003429311385600,AZ,Tire repair,Flat- reparable,2018,RAM ,""1500 SLT 4X2 Quad Cab 6'4"""" Box"""
"0003429311385600,AZ,Tire replacement,Flat- hole not reparable,2018,RAM ,""1500 SLT 4X2 Quad Cab 6'4"""" Box"""
"0003901794287616,AZ,Tire repair,Flat- reparable,2019,Chevrolet Silverado ,1500 LD 4WD Double Cab LT w/1LT"
"0003901794287616,AZ,Tire replacement,Flat- hole not reparable,2019,Chevrolet Silverado ,1500 LD 4WD Double Cab LT w/1LT"
"0004404759957504,AZ,Tire repair,Flat- reparable,2019,RAM ,""1500 Classic SLT 4X2 Crew Cab 6'4"""" Box"""
"0004938208395264,CA,Windshield replacement,Crack,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0005502139600896,CA,Windshield replacement,Crack,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0006096553574400,CA,Fender replacement ,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0006096553574400,CA,Windshield replacement,Crack,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0006721450315776,CA,Dent Repair  Left Fender,Collision,2018,Chevrolet Silverado ,""1500 2WD Double Cab 143.5"""" LT w/1LT"""
"0007376829825024,CA,Wheel Arch,Rust,2018,RAM ,""1500 SLT 4X2 Quad Cab 6'4"""" Box"""
"0008062692102144,CA,Dent Repair Rear,Collision,2019,Chevrolet Silverado ,1500 LD 4WD Double Cab LT w/1LT"
"0008779037147136,CA,Dent Repair  Left Fender,Collision,2019,RAM ,""1500 Classic SLT 4X2 Crew Cab 6'4"""" Box"""
"0009525864960000,CO,Windshield replacement,Crack,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0010303175540736,CO,Windshield replacement,Crack,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0011110968889344,CO,Battery replacment,Dead battery,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0011110968889344,AZ,Tire replacement,Flat- hole not reparable,2019,RAM ,""1500 Classic SLT 4X2 Crew Cab 6'4"""" Box"""
"0011110968889344,CO,Windshield replacement,Crack,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0011949245005824,CO,Windshield replacement,Crack,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0012818003890176,CO,Battery replacment,Dead battery,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0013717245542400,CO,Tire repair,Flat- reparable,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0014646969962496,CO,Tire repair,Flat- reparable,2018,RAM ,""1500 SLT 4X2 Quad Cab 6'4"""" Box"""
"0015607177150464,CO,Dent Repair  Left Fender,Collision,2019,Chevrolet Silverado ,1500 LD 4WD Double Cab LT w/1LT"
"0015607177150464,CO,Windshield replacement,Crack,2018,RAM ,""1500 SLT 4X2 Quad Cab 6'4"""" Box"""
"0016597867106304,CT,Brake line replacement,Corrosion,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0016597867106304,CT,Fuel Tank,Hole,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0016597867106304,CT,Wheel Arch,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0017619039830016,CT,Brake line replacement,Corrosion,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0017619039830016,CT,Cab corner panel,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0018670695321600,CT,Brake line replacement,Corrosion,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0018670695321600,CT,Fender replacement ,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0019752833581056,CT,Brake line replacement,Corrosion,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0019752833581056,CT,Shocks,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0019752833581056,CT,Struts,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0020865454608384,CT,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0020865454608384,CT,Fuel Tank,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0022008558403584,CT,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0022008558403584,CT,Rocker Panel,Rust,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0023182144966656,CT,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0024386214297600,CT,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0025620766396416,CT,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0026885801263104,CT,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0028181318897664,CT,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0029507319300096,CT,Dent Repair Rear,Collision,2018,RAM ,""1500 SLT 4X2 Quad Cab 6'4"""" Box"""
"0030863802470400,CT,Fuel Tank,Hole,2019,Chevrolet Silverado ,1500 LD 4WD Double Cab LT w/1LT"
"0032250768408576,CT,Brake line replacement,Corrosion,2019,RAM ,""1500 Classic SLT 4X2 Crew Cab 6'4"""" Box"""
"0032250768408576,CT,Tire repair,Flat- reparable,2019,RAM ,""1500 Classic SLT 4X2 Crew Cab 6'4"""" Box"""
"0033668217114624,DC,Brake line replacement,Corrosion,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0033668217114624,DC,Fuel Tank,Corrosion,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0033668217114624,DC,Shocks,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0033668217114624,DC,Struts,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0033668217114624,DC,Tire replacement,Flat- hole not reparable,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0035116148588544,DC,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0035116148588544,DC,Cab corner panel,Rust,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0035116148588544,DC,Fuel Tank,Hole,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0036594562830336,DC,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0036594562830336,DC,Fender replacement ,Rust,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0036594562830336,DC,Rocker Panel,Rust,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0036594562830336,DC,Wheel Arch,Rust,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0038103459840000,DC,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0038103459840000,DC,Dent Repair Rear,Collision,2018,Chevrolet Silverado ,""1500 2WD Double Cab 143.5"""" LT w/1LT"""
"0039642839617536,DC,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0041212702162944,DC,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0042813047476224,DC,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0044443875557376,DC,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0046105186406400,DC,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
